,Province,Year,Age,Total,Male,Female
1479,Jeollabuk-do,2020,40-49 Years old,106848,58575,48273
1480,Jeollabuk-do,2020,50-59 Years old,127871,66498,61373
1481,Jeollabuk-do,2020,60-69 Years old,114726,62543,52183
1482,Jeollabuk-do,2020,70-79 Years old,78863,44061,34802
1483,Jeollabuk-do,2020,80 years and over,36656,19543,17113
1484,Jeollabuk-do,2020,dead,26879,22585,4294
1485,Jeollabuk-do,2021,Total,557185,308512,248673
1486,Jeollabuk-do,2021,Under 30 years,8900,5048,3852
1487,Jeollabuk-do,2021,30-39 Years old,46259,27677,18582
1488,Jeollabuk-do,2021,40-49 Years old,104716,57684,47032
1489,Jeollabuk-do,2021,50-59 Years old,130307,67123,63184
1490,Jeollabuk-do,2021,60-69 Years old,121920,64959,56961
1491,Jeollabuk-do,2021,70-79 Years old,80590,44313,36277
1492,Jeollabuk-do,2021,80 years and over,39022,20487,18535
1493,Jeollabuk-do,2021,dead,25471,21221,4250
1494,Jeollabuk-do,2022,Total,555750,305758,249992
1495,Jeollabuk-do,2022,Under 30 years,8074,4661,3413
1496,Jeollabuk-do,2022,30-39 Years old,41578,24832,16746
1497,Jeollabuk-do,2022,40-49 Years old,101887,56397,45490
1498,Jeollabuk-do,2022,50-59 Years old,131176,67344,63832
1499,Jeollabuk-do,2022,60-69 Years old,125213,65817,59396
1500,Jeollabuk-do,2022,70-79 Years old,79341,43222,36119
1501,Jeollabuk-do,2022,80 years and over,42482,22038,20444
1502,Jeollabuk-do,2022,dead,25999,21447,4552
1503,Jeollabuk-do,2023,Total,566305,308795,257510
1504,Jeollabuk-do,2023,Under 30 years,7956,4584,3372
1505,Jeollabuk-do,2023,30-39 Years old,40265,23892,16373
1506,Jeollabuk-do,2023,40-49 Years old,99745,55644,44101
1507,Jeollabuk-do,2023,50-59 Years old,134792,69048,65744
1508,Jeollabuk-do,2023,60-69 Years old,131490,68227,63263
1509,Jeollabuk-do,2023,70-79 Years old,81436,43674,37762
1510,Jeollabuk-do,2023,80 years and over,44864,22612,22252
1511,Jeollabuk-do,2023,dead,25757,21114,4643
1512,Jeollanam-do,2012,Total,485341,308167,177174
1513,Jeollanam-do,2012,Under 30 years,9548,5731,3817
1514,Jeollanam-do,2012,30-39 Years old,52460,30731,21729
1515,Jeollanam-do,2012,40-49 Years old,93942,55318,38624
1516,Jeollanam-do,2012,50-59 Years old,107666,66343,41323
1517,Jeollanam-do,2012,60-69 Years old,88642,57061,31581
1518,Jeollanam-do,2012,70-79 Years old,72195,44783,27412
1519,Jeollanam-do,2012,80 years and over,20513,12456,8057
1520,Jeollanam-do,2012,dead,40375,35744,4631
