"Province","Year","Age",Total,Male,Female
"Gangwon State","2014","Total",384092,226414,157678
"Gangwon State","2014","Under 30 years",6469,3996,2473
"Gangwon State","2014","30-39 Years old",42167,24253,17914
"Gangwon State","2014","40-49 Years old",84058,47228,36830
"Gangwon State","2014","50-59 Years old",103694,60167,43527
"Gangwon State","2014","60-69 Years old",70346,41727,28619
"Gangwon State","2014","70-79 Years old",52489,31225,21264
"Gangwon State","2014","80 years and over",12139,6664,5475
"Gangwon State","2014","dead",12730,11154,1576
"Gangwon State","2015","Total",395250,229969,165281
"Gangwon State","2015","Under 30 years",8320,5080,3240
"Gangwon State","2015","30-39 Years old",43028,24928,18100
"Gangwon State","2015","40-49 Years old",85919,47861,38058
"Gangwon State","2015","50-59 Years old",104741,59500,45241
"Gangwon State","2015","60-69 Years old",74114,43328,30786
"Gangwon State","2015","70-79 Years old",53548,31473,22075
"Gangwon State","2015","80 years and over",13590,7341,6249
"Gangwon State","2015","dead",11990,10458,1532
"Gangwon State","2016","Total",407573,235437,172136
"Gangwon State","2016","Under 30 years",7127,4318,2809
"Gangwon State","2016","30-39 Years old",42430,24836,17594
"Gangwon State","2016","40-49 Years old",85640,47420,38220
"Gangwon State","2016","50-59 Years old",107049,59915,47134
"Gangwon State","2016","60-69 Years old",80489,46636,33853
"Gangwon State","2016","70-79 Years old",55933,32495,23438
"Gangwon State","2016","80 years and over",16097,8714,7383
"Gangwon State","2016","dead",12808,11103,1705
"Gangwon State","2017","Total",416492,239480,177012
"Gangwon State","2017","Under 30 years",7078,4270,2808
"Gangwon State","2017","30-39 Years old",40809,24112,16697
"Gangwon State","2017","40-49 Years old",85455,47214,38241
"Gangwon State","2017","50-59 Years old",107196,59107,48089
"Gangwon State","2017","60-69 Years old",86022,49631,36391
"Gangwon State","2017","70-79 Years old",58470,33765,24705
"Gangwon State","2017","80 years and over",18292,10006,8286
"Gangwon State","2017","dead",13170,11375,1795
"Gangwon State","2018","Total",426399,243015,183384
"Gangwon State","2018","Under 30 years",7172,4347,2825
"Gangwon State","2018","30-39 Years old",40290,23961,16329
"Gangwon State","2018","40-49 Years old",84496,46592,37904
"Gangwon State","2018","50-59 Years old",109058,59179,49879
"Gangwon State","2018","60-69 Years old",91602,52359,39243
"Gangwon State","2018","70-79 Years old",59911,34118,25793
"Gangwon State","2018","80 years and over",21177,11652,9525
"Gangwon State","2018","dead",12693,10807,1886
"Gangwon State","2019","Total",440683,248979,191704
"Gangwon State","2019","Under 30 years",7283,4362,2921
"Gangwon State","2019","30-39 Years old",40833,24402,16431
"Gangwon State","2019","40-49 Years old",85155,46874,38281
"Gangwon State","2019","50-59 Years old",111583,59812,51771
"Gangwon State","2019","60-69 Years old",98790,55681,43109
"Gangwon State","2019","70-79 Years old",60576,34143,26433
"Gangwon State","2019","80 years and over",23682,12921,10761
"Gangwon State","2019","dead",12781,10784,1997
"Gangwon State","2020","Total",459542,257233,202309
"Gangwon State","2020","Under 30 years",7724,4603,3121
"Gangwon State","2020","30-39 Years old",41717,25143,16574
"Gangwon State","2020","40-49 Years old",87067,47785,39282
"Gangwon State","2020","50-59 Years old",113661,60282,53379
"Gangwon State","2020","60-69 Years old",108743,60326,48417
"Gangwon State","2020","70-79 Years old",61333,34030,27303
"Gangwon State","2020","80 years and over",26458,14222,12236
"Gangwon State","2020","dead",12839,10842,1997
"Gangwon State","2021","Total",473451,262062,211389
"Gangwon State","2021","Under 30 years",8322,4933,3389
"Gangwon State","2021","30-39 Years old",41452,24791,16661
"Gangwon State","2021","40-49 Years old",87150,48000,39150
"Gangwon State","2021","50-59 Years old",114899,60339,54560
"Gangwon State","2021","60-69 Years old",119415,65291,54124
"Gangwon State","2021","70-79 Years old",61227,33410,27817
"Gangwon State","2021","80 years and over",28982,15351,13631
"Gangwon State","2021","dead",12004,9947,2057
"Gangwon State","2022","Total",484622,266033,218589
"Gangwon State","2022","Under 30 years",8125,4773,3352
"Gangwon State","2022","30-39 Years old",40067,23992,16075
"Gangwon State","2022","40-49 Years old",86981,47981,39000
"Gangwon State","2022","50-59 Years old",116590,60856,55734
"Gangwon State","2022","60-69 Years old",124057,66767,57290
"Gangwon State","2022","70-79 Years old",64660,35114,29546
"Gangwon State","2022","80 years and over",31959,16564,15395
"Gangwon State","2022","dead",12183,9986,2197
"Gangwon State","2023","Total",492745,268674,224071
"Gangwon State","2023","Under 30 years",7320,4228,3092
"Gangwon State","2023","30-39 Years old",38142,22966,15176
"Gangwon State","2023","40-49 Years old",85150,47225,37925
"Gangwon State","2023","50-59 Years old",117956,61466,56490
"Gangwon State","2023","60-69 Years old",130108,69250,60858
"Gangwon State","2023","70-79 Years old",67344,36155,31189
"Gangwon State","2023","80 years and over",34456,17461,16995
"Gangwon State","2023","dead",12269,9923,2346
"Chungcheongbuk-do","2012","Total",385708,237524,148184
"Chungcheongbuk-do","2012","Under 30 years",9237,5446,3791
"Chungcheongbuk-do","2012","30-39 Years old",59838,35564,24274
"Chungcheongbuk-do","2012","40-49 Years old",93530,54934,38596
"Chungcheongbuk-do","2012","50-59 Years old",98469,60011,38458
"Chungcheongbuk-do","2012","60-69 Years old",60288,37660,22628
"Chungcheongbuk-do","2012","70-79 Years old",42312,26690,15622
"Chungcheongbuk-do","2012","80 years and over",9693,6185,3508
"Chungcheongbuk-do","2012","dead",12341,11034,1307
"Chungcheongbuk-do","2013","Total",401423,244921,156502
"Chungcheongbuk-do","2013","Under 30 years",8394,4969,3425
"Chungcheongbuk-do","2013","30-39 Years old",59327,35361,23966
"Chungcheongbuk-do","2013","40-49 Years old",96704,55759,40945
"Chungcheongbuk-do","2013","50-59 Years old",103009,61856,41153
"Chungcheongbuk-do","2013","60-69 Years old",63556,39254,24302
"Chungcheongbuk-do","2013","70-79 Years old",45671,28516,17155
"Chungcheongbuk-do","2013","80 years and over",11346,7187,4159
"Chungcheongbuk-do","2013","dead",13416,12019,1397
"Chungcheongbuk-do","2014","Total",406834,245502,161332
"Chungcheongbuk-do","2014","Under 30 years",8117,4844,3273
"Chungcheongbuk-do","2014","30-39 Years old",57621,34581,23040
"Chungcheongbuk-do","2014","40-49 Years old",98636,56192,42444
"Chungcheongbuk-do","2014","50-59 Years old",103913,61213,42700
"Chungcheongbuk-do","2014","60-69 Years old",66236,40330,25906
"Chungcheongbuk-do","2014","70-79 Years old",45956,28094,17862
"Chungcheongbuk-do","2014","80 years and over",11274,6675,4599
"Chungcheongbuk-do","2014","dead",15081,13573,1508
"Chungcheongbuk-do","2015","Total",414536,246527,168009
"Chungcheongbuk-do","2015","Under 30 years",9364,5507,3857
"Chungcheongbuk-do","2015","30-39 Years old",57414,34702,22712
"Chungcheongbuk-do","2015","40-49 Years old",99532,56014,43518
"Chungcheongbuk-do","2015","50-59 Years old",106136,61083,45053
"Chungcheongbuk-do","2015","60-69 Years old",69810,41654,28156
"Chungcheongbuk-do","2015","70-79 Years old",45046,27066,17980
"Chungcheongbuk-do","2015","80 years and over",12453,7247,5206
"Chungcheongbuk-do","2015","dead",14781,13254,1527
"Chungcheongbuk-do","2016","Total",426272,251799,174473
"Chungcheongbuk-do","2016","Under 30 years",8154,4809,3345
"Chungcheongbuk-do","2016","30-39 Years old",55380,33740,21640
"Chungcheongbuk-do","2016","40-49 Years old",99235,55320,43915
"Chungcheongbuk-do","2016","50-59 Years old",109299,61925,47374
"Chungcheongbuk-do","2016","60-69 Years old",76707,45297,31410
"Chungcheongbuk-do","2016","70-79 Years old",46837,27909,18928
"Chungcheongbuk-do","2016","80 years and over",14734,8541,6193
"Chungcheongbuk-do","2016","dead",15926,14258,1668
"Chungcheongbuk-do","2017","Total",441796,259881,181915
"Chungcheongbuk-do","2017","Under 30 years",7929,4728,3201
"Chungcheongbuk-do","2017","30-39 Years old",53726,32964,20762
"Chungcheongbuk-do","2017","40-49 Years old",99499,55534,43965
"Chungcheongbuk-do","2017","50-59 Years old",112553,62952,49601
"Chungcheongbuk-do","2017","60-69 Years old",83781,49138,34643
"Chungcheongbuk-do","2017","70-79 Years old",50509,29912,20597
"Chungcheongbuk-do","2017","80 years and over",17219,9903,7316
"Chungcheongbuk-do","2017","dead",16580,14750,1830
"Chungcheongbuk-do","2018","Total",453048,264455,188593
"Chungcheongbuk-do","2018","Under 30 years",8448,5033,3415
"Chungcheongbuk-do","2018","30-39 Years old",53446,33129,20317
"Chungcheongbuk-do","2018","40-49 Years old",98949,55472,43477
"Chungcheongbuk-do","2018","50-59 Years old",115498,63364,52134
"Chungcheongbuk-do","2018","60-69 Years old",89050,51424,37626
"Chungcheongbuk-do","2018","70-79 Years old",52064,30552,21512
"Chungcheongbuk-do","2018","80 years and over",19846,11630,8216
"Chungcheongbuk-do","2018","dead",15747,13851,1896
"Chungcheongbuk-do","2019","Total",469366,272467,196899
"Chungcheongbuk-do","2019","Under 30 years",8596,5141,3455
"Chungcheongbuk-do","2019","30-39 Years old",53270,33178,20092
"Chungcheongbuk-do","2019","40-49 Years old",99145,55953,43192
"Chungcheongbuk-do","2019","50-59 Years old",120105,64977,55128
"Chungcheongbuk-do","2019","60-69 Years old",95320,54338,40982
"Chungcheongbuk-do","2019","70-79 Years old",54017,31371,22646
"Chungcheongbuk-do","2019","80 years and over",22319,12950,9369
"Chungcheongbuk-do","2019","dead",16594,14559,2035
"Chungcheongbuk-do","2020","Total",482771,277872,204899
"Chungcheongbuk-do","2020","Under 30 years",9023,5390,3633
"Chungcheongbuk-do","2020","30-39 Years old",52281,32620,19661
"Chungcheongbuk-do","2020","40-49 Years old",99825,56455,43370
"Chungcheongbuk-do","2020","50-59 Years old",121707,65266,56441
"Chungcheongbuk-do","2020","60-69 Years old",103199,57780,45419
"Chungcheongbuk-do","2020","70-79 Years old",55469,31745,23724
"Chungcheongbuk-do","2020","80 years and over",24319,13815,10504
"Chungcheongbuk-do","2020","dead",16948,14801,2147
"Chungcheongbuk-do","2021","Total",493366,281033,212333
"Chungcheongbuk-do","2021","Under 30 years",9427,5566,3861
"Chungcheongbuk-do","2021","30-39 Years old",50632,31642,18990
"Chungcheongbuk-do","2021","40-49 Years old",98494,55985,42509
"Chungcheongbuk-do","2021","50-59 Years old",121898,64540,57358
"Chungcheongbuk-do","2021","60-69 Years old",113736,62734,51002
"Chungcheongbuk-do","2021","70-79 Years old",56323,31675,24648
"Chungcheongbuk-do","2021","80 years and over",26626,14796,11830
"Chungcheongbuk-do","2021","dead",16230,14095,2135
"Chungcheongbuk-do","2022","Total",499702,283001,216701
"Chungcheongbuk-do","2022","Under 30 years",8834,5158,3676
"Chungcheongbuk-do","2022","30-39 Years old",47183,29741,17442
"Chungcheongbuk-do","2022","40-49 Years old",98013,56063,41950
"Chungcheongbuk-do","2022","50-59 Years old",122193,64349,57844
"Chungcheongbuk-do","2022","60-69 Years old",118519,64776,53743
"Chungcheongbuk-do","2022","70-79 Years old",59342,32952,26390
"Chungcheongbuk-do","2022","80 years and over",29426,16047,13379
"Chungcheongbuk-do","2022","dead",16192,13915,2277
"Chungcheongbuk-do","2023","Total",511649,288100,223549
"Chungcheongbuk-do","2023","Under 30 years",8448,4921,3527
"Chungcheongbuk-do","2023","30-39 Years old",46355,29397,16958
"Chungcheongbuk-do","2023","40-49 Years old",97472,56268,41204
"Chungcheongbuk-do","2023","50-59 Years old",125774,65878,59896
"Chungcheongbuk-do","2023","60-69 Years old",123909,66990,56919
"Chungcheongbuk-do","2023","70-79 Years old",62231,34183,28048
"Chungcheongbuk-do","2023","80 years and over",31366,16729,14637
"Chungcheongbuk-do","2023","dead",16094,13734,2360
"Chungcheongnam-do","2012","Total",476502,299319,177183
"Chungcheongnam-do","2012","Under 30 years",11168,6249,4919
"Chungcheongnam-do","2012","30-39 Years old",74652,45989,28663
"Chungcheongnam-do","2012","40-49 Years old",109195,65560,43635
"Chungcheongnam-do","2012","50-59 Years old",110639,68177,42462
"Chungcheongnam-do","2012","60-69 Years old",76934,48831,28103
"Chungcheongnam-do","2012","70-79 Years old",58976,37285,21691
"Chungcheongnam-do","2012","80 years and over",15490,9791,5699
"Chungcheongnam-do","2012","dead",19448,17437,2011
"Chungcheongnam-do","2013","Total",498651,312012,186639
"Chungcheongnam-do","2013","Under 30 years",10145,5727,4418
"Chungcheongnam-do","2013","30-39 Years old",73508,45464,28044
"Chungcheongnam-do","2013","40-49 Years old",112831,67108,45723
"Chungcheongnam-do","2013","50-59 Years old",117645,71783,45862
"Chungcheongnam-do","2013","60-69 Years old",80990,51050,29940
"Chungcheongnam-do","2013","70-79 Years old",63375,39789,23586
"Chungcheongnam-do","2013","80 years and over",18701,11844,6857
"Chungcheongnam-do","2013","dead",21456,19247,2209
"Chungcheongnam-do","2014","Total",520719,322316,198403
"Chungcheongnam-do","2014","Under 30 years",11085,6147,4938
"Chungcheongnam-do","2014","30-39 Years old",77567,48543,29024
"Chungcheongnam-do","2014","40-49 Years old",118609,69807,48802
"Chungcheongnam-do","2014","50-59 Years old",120549,72131,48418
"Chungcheongnam-do","2014","60-69 Years old",84480,52511,31969
"Chungcheongnam-do","2014","70-79 Years old",64944,39984,24960
"Chungcheongnam-do","2014","80 years and over",19922,12094,7828
"Chungcheongnam-do","2014","dead",23563,21099,2464
"Chungcheongnam-do","2015","Total",533423,325831,207592
"Chungcheongnam-do","2015","Under 30 years",13150,7263,5887
"Chungcheongnam-do","2015","30-39 Years old",78218,49313,28905
"Chungcheongnam-do","2015","40-49 Years old",121537,70906,50631
"Chungcheongnam-do","2015","50-59 Years old",123915,72736,51179
"Chungcheongnam-do","2015","60-69 Years old",89743,54816,34927
"Chungcheongnam-do","2015","70-79 Years old",62858,37999,24859
"Chungcheongnam-do","2015","80 years and over",21339,12619,8720
"Chungcheongnam-do","2015","dead",22663,20179,2484
"Chungcheongnam-do","2016","Total",555471,337002,218469
"Chungcheongnam-do","2016","Under 30 years",12596,6995,5601
"Chungcheongnam-do","2016","30-39 Years old",81183,51656,29527
"Chungcheongnam-do","2016","40-49 Years old",125669,72959,52710
"Chungcheongnam-do","2016","50-59 Years old",127612,73452,54160
"Chungcheongnam-do","2016","60-69 Years old",96867,58316,38551
"Chungcheongnam-do","2016","70-79 Years old",63410,38078,25332
"Chungcheongnam-do","2016","80 years and over",24300,14325,9975
"Chungcheongnam-do","2016","dead",23834,21221,2613
"Chungcheongnam-do","2017","Total",583830,353700,230130
"Chungcheongnam-do","2017","Under 30 years",12211,6908,5303
"Chungcheongnam-do","2017","30-39 Years old",81758,52178,29580
"Chungcheongnam-do","2017","40-49 Years old",129937,75622,54315
"Chungcheongnam-do","2017","50-59 Years old",133135,75901,57234
"Chungcheongnam-do","2017","60-69 Years old",104125,62414,41711
"Chungcheongnam-do","2017","70-79 Years old",69053,41756,27297
"Chungcheongnam-do","2017","80 years and over",28819,16934,11885
"Chungcheongnam-do","2017","dead",24792,21987,2805
"Chungcheongnam-do","2018","Total",604516,362834,241682
"Chungcheongnam-do","2018","Under 30 years",12327,7030,5297
"Chungcheongnam-do","2018","30-39 Years old",82991,53006,29985
"Chungcheongnam-do","2018","40-49 Years old",132395,77372,55023
"Chungcheongnam-do","2018","50-59 Years old",139334,78028,61306
"Chungcheongnam-do","2018","60-69 Years old",109384,64395,44989
"Chungcheongnam-do","2018","70-79 Years old",71518,42822,28696
"Chungcheongnam-do","2018","80 years and over",32606,19168,13438
"Chungcheongnam-do","2018","dead",23961,21013,2948
"Chungcheongnam-do","2019","Total",620151,369603,250548
"Chungcheongnam-do","2019","Under 30 years",11941,6776,5165
"Chungcheongnam-do","2019","30-39 Years old",81142,51879,29263
"Chungcheongnam-do","2019","40-49 Years old",134434,79089,55345
"Chungcheongnam-do","2019","50-59 Years old",144477,80032,64445
"Chungcheongnam-do","2019","60-69 Years old",114915,66495,48420
"Chungcheongnam-do","2019","70-79 Years old",73926,43909,30017
"Chungcheongnam-do","2019","80 years and over",35399,20503,14896
"Chungcheongnam-do","2019","dead",23917,20920,2997
"Chungcheongnam-do","2020","Total",634615,375441,259174
"Chungcheongnam-do","2020","Under 30 years",11804,6651,5153
"Chungcheongnam-do","2020","30-39 Years old",76220,48674,27546
"Chungcheongnam-do","2020","40-49 Years old",136126,80608,55518
"Chungcheongnam-do","2020","50-59 Years old",146755,80774,65981
"Chungcheongnam-do","2020","60-69 Years old",124144,70659,53485
"Chungcheongnam-do","2020","70-79 Years old",77481,45595,31886
"Chungcheongnam-do","2020","80 years and over",38008,21576,16432
"Chungcheongnam-do","2020","dead",24077,20904,3173
"Chungcheongnam-do","2021","Total",646326,379276,267050
"Chungcheongnam-do","2021","Under 30 years",12227,6886,5341
"Chungcheongnam-do","2021","30-39 Years old",71449,45440,26009
"Chungcheongnam-do","2021","40-49 Years old",135863,80955,54908
"Chungcheongnam-do","2021","50-59 Years old",148831,81157,67674
"Chungcheongnam-do","2021","60-69 Years old",135131,75702,59429
"Chungcheongnam-do","2021","70-79 Years old",78814,45860,32954
"Chungcheongnam-do","2021","80 years and over",39809,22333,17476
"Chungcheongnam-do","2021","dead",24202,20943,3259
"Chungcheongnam-do","2022","Total",654084,380654,273430
"Chungcheongnam-do","2022","Under 30 years",11383,6418,4965
"Chungcheongnam-do","2022","30-39 Years old",66061,41521,24540
"Chungcheongnam-do","2022","40-49 Years old",136839,81983,54856
"Chungcheongnam-do","2022","50-59 Years old",151587,82299,69288
"Chungcheongnam-do","2022","60-69 Years old",141276,77937,63339
"Chungcheongnam-do","2022","70-79 Years old",79965,45912,34053
"Chungcheongnam-do","2022","80 years and over",42304,23343,18961
"Chungcheongnam-do","2022","dead",24669,21241,3428
"Chungcheongnam-do","2023","Total",672089,388025,284064
"Chungcheongnam-do","2023","Under 30 years",10598,6042,4556
"Chungcheongnam-do","2023","30-39 Years old",63598,39664,23934
"Chungcheongnam-do","2023","40-49 Years old",137452,82883,54569
"Chungcheongnam-do","2023","50-59 Years old",157558,85237,72321
"Chungcheongnam-do","2023","60-69 Years old",149798,81575,68223
"Chungcheongnam-do","2023","70-79 Years old",83290,47166,36124
"Chungcheongnam-do","2023","80 years and over",44704,24013,20691
"Chungcheongnam-do","2023","dead",25091,21445,3646
"Jeollabuk-do","2012","Total",464225,277419,186806
"Jeollabuk-do","2012","Under 30 years",10317,6060,4257
"Jeollabuk-do","2012","30-39 Years old",62149,35732,26417
"Jeollabuk-do","2012","40-49 Years old",102430,56888,45542
"Jeollabuk-do","2012","50-59 Years old",108315,62900,45415
"Jeollabuk-do","2012","60-69 Years old",81598,50001,31597
"Jeollabuk-do","2012","70-79 Years old",60397,36212,24185
"Jeollabuk-do","2012","80 years and over",16327,9826,6501
"Jeollabuk-do","2012","dead",22692,19800,2892
"Jeollabuk-do","2013","Total",483582,286816,196766
"Jeollabuk-do","2013","Under 30 years",9306,5482,3824
"Jeollabuk-do","2013","30-39 Years old",60409,35106,25303
"Jeollabuk-do","2013","40-49 Years old",105950,58324,47626
"Jeollabuk-do","2013","50-59 Years old",114456,65382,49074
"Jeollabuk-do","2013","60-69 Years old",85266,51678,33588
"Jeollabuk-do","2013","70-79 Years old",64973,38587,26386
"Jeollabuk-do","2013","80 years and over",19193,11306,7887
"Jeollabuk-do","2013","dead",24029,20951,3078
"Jeollabuk-do","2014","Total",488326,286915,201411
"Jeollabuk-do","2014","Under 30 years",8618,5070,3548
"Jeollabuk-do","2014","30-39 Years old",57620,33755,23865
"Jeollabuk-do","2014","40-49 Years old",108582,59356,49226
"Jeollabuk-do","2014","50-59 Years old",115409,64774,50635
"Jeollabuk-do","2014","60-69 Years old",87724,52467,35257
"Jeollabuk-do","2014","70-79 Years old",65156,38236,26920
"Jeollabuk-do","2014","80 years and over",19717,11019,8698
"Jeollabuk-do","2014","dead",25500,22238,3262
"Jeollabuk-do","2015","Total",500617,289859,210758
"Jeollabuk-do","2015","Under 30 years",10981,6319,4662
"Jeollabuk-do","2015","30-39 Years old",58855,34643,24212
"Jeollabuk-do","2015","40-49 Years old",111042,60140,50902
"Jeollabuk-do","2015","50-59 Years old",117697,64527,53170
"Jeollabuk-do","2015","60-69 Years old",92572,54292,38280
"Jeollabuk-do","2015","70-79 Years old",63522,36787,26735
"Jeollabuk-do","2015","80 years and over",21145,11607,9538
"Jeollabuk-do","2015","dead",24803,21544,3259
"Jeollabuk-do","2016","Total",503407,290112,213295
"Jeollabuk-do","2016","Under 30 years",9018,5252,3766
"Jeollabuk-do","2016","30-39 Years old",56093,33360,22733
"Jeollabuk-do","2016","40-49 Years old",109665,59190,50475
"Jeollabuk-do","2016","50-59 Years old",118757,64200,54557
"Jeollabuk-do","2016","60-69 Years old",96008,55484,40524
"Jeollabuk-do","2016","70-79 Years old",64299,37151,27148
"Jeollabuk-do","2016","80 years and over",23476,12840,10636
"Jeollabuk-do","2016","dead",26091,22635,3456
"Jeollabuk-do","2017","Total",519633,298674,220959
"Jeollabuk-do","2017","Under 30 years",8694,5074,3620
"Jeollabuk-do","2017","30-39 Years old",53677,32256,21421
"Jeollabuk-do","2017","40-49 Years old",109347,59322,50025
"Jeollabuk-do","2017","50-59 Years old",121451,64950,56501
"Jeollabuk-do","2017","60-69 Years old",100860,57802,43058
"Jeollabuk-do","2017","70-79 Years old",70958,40943,30015
"Jeollabuk-do","2017","80 years and over",27654,15114,12540
"Jeollabuk-do","2017","dead",26992,23213,3779
"Jeollabuk-do","2018","Total",529293,301871,227422
"Jeollabuk-do","2018","Under 30 years",8626,4974,3652
"Jeollabuk-do","2018","30-39 Years old",52814,31978,20836
"Jeollabuk-do","2018","40-49 Years old",107980,58686,49294
"Jeollabuk-do","2018","50-59 Years old",125021,65982,59039
"Jeollabuk-do","2018","60-69 Years old",103886,58651,45235
"Jeollabuk-do","2018","70-79 Years old",73373,41924,31449
"Jeollabuk-do","2018","80 years and over",31180,17192,13988
"Jeollabuk-do","2018","dead",26413,22484,3929
"Jeollabuk-do","2019","Total",536922,303896,233026
"Jeollabuk-do","2019","Under 30 years",8246,4737,3509
"Jeollabuk-do","2019","30-39 Years old",50317,30487,19830
"Jeollabuk-do","2019","40-49 Years old",106716,58298,48418
"Jeollabuk-do","2019","50-59 Years old",127178,66537,60641
"Jeollabuk-do","2019","60-69 Years old",108256,60185,48071
"Jeollabuk-do","2019","70-79 Years old",75294,42440,32854
"Jeollabuk-do","2019","80 years and over",34076,18515,15561
"Jeollabuk-do","2019","dead",26839,22697,4142
"Jeollabuk-do","2020","Total",548245,307511,240734
"Jeollabuk-do","2020","Under 30 years",8286,4710,3576
"Jeollabuk-do","2020","30-39 Years old",48116,28996,19120
"Jeollabuk-do","2020","40-49 Years old",106848,58575,48273
"Jeollabuk-do","2020","50-59 Years old",127871,66498,61373
"Jeollabuk-do","2020","60-69 Years old",114726,62543,52183
"Jeollabuk-do","2020","70-79 Years old",78863,44061,34802
"Jeollabuk-do","2020","80 years and over",36656,19543,17113
"Jeollabuk-do","2020","dead",26879,22585,4294
"Jeollabuk-do","2021","Total",557185,308512,248673
"Jeollabuk-do","2021","Under 30 years",8900,5048,3852
"Jeollabuk-do","2021","30-39 Years old",46259,27677,18582
"Jeollabuk-do","2021","40-49 Years old",104716,57684,47032
"Jeollabuk-do","2021","50-59 Years old",130307,67123,63184
"Jeollabuk-do","2021","60-69 Years old",121920,64959,56961
"Jeollabuk-do","2021","70-79 Years old",80590,44313,36277
"Jeollabuk-do","2021","80 years and over",39022,20487,18535
"Jeollabuk-do","2021","dead",25471,21221,4250
"Jeollabuk-do","2022","Total",555750,305758,249992
"Jeollabuk-do","2022","Under 30 years",8074,4661,3413
"Jeollabuk-do","2022","30-39 Years old",41578,24832,16746
"Jeollabuk-do","2022","40-49 Years old",101887,56397,45490
"Jeollabuk-do","2022","50-59 Years old",131176,67344,63832
"Jeollabuk-do","2022","60-69 Years old",125213,65817,59396
"Jeollabuk-do","2022","70-79 Years old",79341,43222,36119
"Jeollabuk-do","2022","80 years and over",42482,22038,20444
"Jeollabuk-do","2022","dead",25999,21447,4552
"Jeollabuk-do","2023","Total",566305,308795,257510
"Jeollabuk-do","2023","Under 30 years",7956,4584,3372
"Jeollabuk-do","2023","30-39 Years old",40265,23892,16373
"Jeollabuk-do","2023","40-49 Years old",99745,55644,44101
"Jeollabuk-do","2023","50-59 Years old",134792,69048,65744
"Jeollabuk-do","2023","60-69 Years old",131490,68227,63263
"Jeollabuk-do","2023","70-79 Years old",81436,43674,37762
"Jeollabuk-do","2023","80 years and over",44864,22612,22252
"Jeollabuk-do","2023","dead",25757,21114,4643
"Jeollanam-do","2012","Total",485341,308167,177174
"Jeollanam-do","2012","Under 30 years",9548,5731,3817
"Jeollanam-do","2012","30-39 Years old",52460,30731,21729
"Jeollanam-do","2012","40-49 Years old",93942,55318,38624
"Jeollanam-do","2012","50-59 Years old",107666,66343,41323
"Jeollanam-do","2012","60-69 Years old",88642,57061,31581
"Jeollanam-do","2012","70-79 Years old",72195,44783,27412
"Jeollanam-do","2012","80 years and over",20513,12456,8057
"Jeollanam-do","2012","dead",40375,35744,4631
"Jeollanam-do","2013","Total",504612,318047,186565
"Jeollanam-do","2013","Under 30 years",8543,5088,3455
"Jeollanam-do","2013","30-39 Years old",51819,30651,21168
"Jeollanam-do","2013","40-49 Years old",95813,55519,40294
"Jeollanam-do","2013","50-59 Years old",113934,69159,44775
"Jeollanam-do","2013","60-69 Years old",91163,58157,33006
"Jeollanam-do","2013","70-79 Years old",77127,47572,29555
"Jeollanam-do","2013","80 years and over",23607,14145,9462
"Jeollanam-do","2013","dead",42606,37756,4850
"Jeollanam-do","2014","Total",502584,312050,190534
"Jeollanam-do","2014","Under 30 years",7775,4667,3108
"Jeollanam-do","2014","30-39 Years old",50582,29912,20670
"Jeollanam-do","2014","40-49 Years old",95070,54027,41043
"Jeollanam-do","2014","50-59 Years old",113180,66942,46238
"Jeollanam-do","2014","60-69 Years old",91230,57156,34074
"Jeollanam-do","2014","70-79 Years old",76396,46246,30150
"Jeollanam-do","2014","80 years and over",23060,12999,10061
"Jeollanam-do","2014","dead",45291,40101,5190
"Jeollanam-do","2015","Total",512148,313062,199086
"Jeollanam-do","2015","Under 30 years",11058,6366,4692
"Jeollanam-do","2015","30-39 Years old",52894,31520,21374
"Jeollanam-do","2015","40-49 Years old",97033,54575,42458
"Jeollanam-do","2015","50-59 Years old",115554,66769,48785
"Jeollanam-do","2015","60-69 Years old",93654,57670,35984
"Jeollanam-do","2015","70-79 Years old",73515,43761,29754
"Jeollanam-do","2015","80 years and over",24013,13228,10785
"Jeollanam-do","2015","dead",44427,39173,5254
"Jeollanam-do","2016","Total",518670,315245,203425
"Jeollanam-do","2016","Under 30 years",9068,5365,3703
"Jeollanam-do","2016","30-39 Years old",52110,31381,20729
"Jeollanam-do","2016","40-49 Years old",95544,53270,42274
"Jeollanam-do","2016","50-59 Years old",117981,67190,50791
"Jeollanam-do","2016","60-69 Years old",97239,59023,38216
"Jeollanam-do","2016","70-79 Years old",74589,44187,30402
"Jeollanam-do","2016","80 years and over",26171,14427,11744
"Jeollanam-do","2016","dead",45968,40402,5566
"Jeollanam-do","2017","Total",537573,326020,211553
"Jeollanam-do","2017","Under 30 years",8217,4900,3317
"Jeollanam-do","2017","30-39 Years old",50749,31154,19595
"Jeollanam-do","2017","40-49 Years old",95284,53181,42103
"Jeollanam-do","2017","50-59 Years old",120746,68503,52243
"Jeollanam-do","2017","60-69 Years old",102882,61899,40983
"Jeollanam-do","2017","70-79 Years old",81358,48064,33294
"Jeollanam-do","2017","80 years and over",30879,16841,14038
"Jeollanam-do","2017","dead",47458,41478,5980
"Jeollanam-do","2018","Total",546595,328904,217691
"Jeollanam-do","2018","Under 30 years",8876,5268,3608
"Jeollanam-do","2018","30-39 Years old",51177,31575,19602
"Jeollanam-do","2018","40-49 Years old",94824,53060,41764
"Jeollanam-do","2018","50-59 Years old",123374,68935,54439
