"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"5 persons or more","Consumption expenditure","2015.3/4","3343343.936","3309099.844","3406100.996",
"5 persons or more","Consumption expenditure","2015.4/4","3387030.595","3291815.997","3564556.44",
"5 persons or more","Consumption expenditure","2016.1/4","3566754.58","3671444.211","3372540.913",
"5 persons or more","Consumption expenditure","2016.2/4","3285482.519","3346379.301","3144473.601",
"5 persons or more","Consumption expenditure","2016.3/4","3587241.274","3698131.33","3371023.584",
"5 persons or more","Consumption expenditure","2016.4/4","3120743.826","3316361.802","2705209.774",
"5 persons or more","01.Food and soft drinks","2006.1/4","340462.329","339265.131","342117.375",
"5 persons or more","01.Food and soft drinks","2006.2/4","314375.474","308715.644","322698.517",
"5 persons or more","01.Food and soft drinks","2006.3/4","339566.523","332821.252","350542.884",
"5 persons or more","01.Food and soft drinks","2006.4/4","379574.142","375964.981","384935.825",
"5 persons or more","01.Food and soft drinks","2007.1/4","337576.334","333721.849","343278.585",
"5 persons or more","01.Food and soft drinks","2007.2/4","316164.98","315869.639","316638.529",
"5 persons or more","01.Food and soft drinks","2007.3/4","387991.4","378147.477","407579.081",
"5 persons or more","01.Food and soft drinks","2007.4/4","367377.024","355118.549","391848.784",
"5 persons or more","01.Food and soft drinks","2008.1/4","356086.275","360455.063","347869.062",
"5 persons or more","01.Food and soft drinks","2008.2/4","336009.956","345937.598","318427.129",
"5 persons or more","01.Food and soft drinks","2008.3/4","389567.9","392060.75","385144.588",
"5 persons or more","01.Food and soft drinks","2008.4/4","382181.246","381504.909","383426.18",
"5 persons or more","01.Food and soft drinks","2009.1/4","366373.691","374943.927","350579.098",
"5 persons or more","01.Food and soft drinks","2009.2/4","362672.107","369161.094","351868.142",
"5 persons or more","01.Food and soft drinks","2009.3/4","395401.078","398466.956","390018.993",
"5 persons or more","01.Food and soft drinks","2009.4/4","391470.528","394600.019","385686.004",
"5 persons or more","01.Food and soft drinks","2010.1/4","383907.392","390796.963","370292.402",
"5 persons or more","01.Food and soft drinks","2010.2/4","371424.121","372666.892","369203.671",
"5 persons or more","01.Food and soft drinks","2010.3/4","429218.306","426659.462","433699.302",
"5 persons or more","01.Food and soft drinks","2010.4/4","415929.386","405028.882","436803.778",
"5 persons or more","01.Food and soft drinks","2011.1/4","417292.973","409384.115","430802.875",
"5 persons or more","01.Food and soft drinks","2011.2/4","408543.936","397017.838","427635.967",
"5 persons or more","01.Food and soft drinks","2011.3/4","449500.909","433940.646","475800.565",
"5 persons or more","01.Food and soft drinks","2011.4/4","428132.757","416899.425","447809.272",
"5 persons or more","01.Food and soft drinks","2012.1/4","431007.285","430705.156","431519.892",
"5 persons or more","01.Food and soft drinks","2012.2/4","410355.965","412299.767","407018.269",
"5 persons or more","01.Food and soft drinks","2012.3/4","471326.496","474711.096","465353.027",
"5 persons or more","01.Food and soft drinks","2012.4/4","424472.35","415825.094","440611.697",
"5 persons or more","01.Food and soft drinks","2013.1/4","415391.782","416631.583","413091.275",
"5 persons or more","01.Food and soft drinks","2013.2/4","415426.234","417731.779","411217.396",
"5 persons or more","01.Food and soft drinks","2013.3/4","461213.626","462978.139","457691.712",
"5 persons or more","01.Food and soft drinks","2013.4/4","446482.162","439991.58","459615.381",
"5 persons or more","01.Food and soft drinks","2014.1/4","445317.515","444326.889","447270.583",
"5 persons or more","01.Food and soft drinks","2014.2/4","433642.144","437180.258","426509.53",
"5 persons or more","01.Food and soft drinks","2014.3/4","478179.048","483822.761","466230.815",
"5 persons or more","01.Food and soft drinks","2014.4/4","452753.852","456726.557","443694.036",
"5 persons or more","01.Food and soft drinks","2015.1/4","457683.945","463343.54","444904.922",
"5 persons or more","01.Food and soft drinks","2015.2/4","436298.452","443236.978","422703.542",
"5 persons or more","01.Food and soft drinks","2015.3/4","462004.945","470791.068","445903.154",
"5 persons or more","01.Food and soft drinks","2015.4/4","414121.073","409347.273","423021.735",
"5 persons or more","01.Food and soft drinks","2016.1/4","420661.203","431922.129","399770.637",
"5 persons or more","01.Food and soft drinks","2016.2/4","406364.612","416223.624","383535.678",
"5 persons or more","01.Food and soft drinks","2016.3/4","445612.351","465944.272","405968.392",
"5 persons or more","01.Food and soft drinks","2016.4/4","425318.335","449671.246","373587.588",
"5 persons or more","02.Alcoholic beverages and tobacco","2006.1/4","36432.42","34295.087","39387.138",
"5 persons or more","02.Alcoholic beverages and tobacco","2006.2/4","35314.686","35085.625","35651.531",
"5 persons or more","02.Alcoholic beverages and tobacco","2006.3/4","37863.718","37502.082","38452.196",
"5 persons or more","02.Alcoholic beverages and tobacco","2006.4/4","37703.527","36932.926","38848.312",
"5 persons or more","02.Alcoholic beverages and tobacco","2007.1/4","35759.144","35907.283","35539.99",
"5 persons or more","02.Alcoholic beverages and tobacco","2007.2/4","32636.927","32205.13","33329.271",
"5 persons or more","02.Alcoholic beverages and tobacco","2007.3/4","34392.868","33504.818","36159.933",
"5 persons or more","02.Alcoholic beverages and tobacco","2007.4/4","30873.14","29610.755","33393.256",
"5 persons or more","02.Alcoholic beverages and tobacco","2008.1/4","33326.94","32329.432","35203.144",
"5 persons or more","02.Alcoholic beverages and tobacco","2008.2/4","31824.718","29259.505","36367.961",
"5 persons or more","02.Alcoholic beverages and tobacco","2008.3/4","34905.699","32675.851","38862.339",
"5 persons or more","02.Alcoholic beverages and tobacco","2008.4/4","31541.784","30424.584","33598.216",
"5 persons or more","02.Alcoholic beverages and tobacco","2009.1/4","33590.379","32082.164","36369.956",
"5 persons or more","02.Alcoholic beverages and tobacco","2009.2/4","32680.14","31563.036","34540.086",
"5 persons or more","02.Alcoholic beverages and tobacco","2009.3/4","32133.368","30843.002","34398.578",
"5 persons or more","02.Alcoholic beverages and tobacco","2009.4/4","32668.163","31792.003","34287.65",
"5 persons or more","02.Alcoholic beverages and tobacco","2010.1/4","30333.465","30503.539","29997.37",
"5 persons or more","02.Alcoholic beverages and tobacco","2010.2/4","30348.907","31546.155","28209.792",
"5 persons or more","02.Alcoholic beverages and tobacco","2010.3/4","33506.617","32822.776","34704.144",
"5 persons or more","02.Alcoholic beverages and tobacco","2010.4/4","27064.086","26706.56","27748.745",
"5 persons or more","02.Alcoholic beverages and tobacco","2011.1/4","28322.018","28659.573","27745.407",
"5 persons or more","02.Alcoholic beverages and tobacco","2011.2/4","27346.602","28485.288","25460.462",
"5 persons or more","02.Alcoholic beverages and tobacco","2011.3/4","33001.3","34954.695","29699.708",
"5 persons or more","02.Alcoholic beverages and tobacco","2011.4/4","30636.497","31612.394","28927.097",
"5 persons or more","02.Alcoholic beverages and tobacco","2012.1/4","30392.008","30669.771","29920.742",
"5 persons or more","02.Alcoholic beverages and tobacco","2012.2/4","30839.662","32370.937","28210.314",
"5 persons or more","02.Alcoholic beverages and tobacco","2012.3/4","33442.973","34925.975","30825.627",
"5 persons or more","02.Alcoholic beverages and tobacco","2012.4/4","28881.481","29798.209","27170.488",
"5 persons or more","02.Alcoholic beverages and tobacco","2013.1/4","25533.492","26927.098","22947.594",
"5 persons or more","02.Alcoholic beverages and tobacco","2013.2/4","29069.344","30377.798","26680.725",
"5 persons or more","02.Alcoholic beverages and tobacco","2013.3/4","30872.284","32133.49","28354.957",
"5 persons or more","02.Alcoholic beverages and tobacco","2013.4/4","28524.729","27762.606","30066.828",
"5 persons or more","02.Alcoholic beverages and tobacco","2014.1/4","32007.579","31177.477","33644.163",
"5 persons or more","02.Alcoholic beverages and tobacco","2014.2/4","30384.667","29219.823","32732.917",
"5 persons or more","02.Alcoholic beverages and tobacco","2014.3/4","34918.66","33411.644","38109.145",
"5 persons or more","02.Alcoholic beverages and tobacco","2014.4/4","33387.407","33870.574","32285.537",
"5 persons or more","02.Alcoholic beverages and tobacco","2015.1/4","34722.543","30133.629","45084.033",
"5 persons or more","02.Alcoholic beverages and tobacco","2015.2/4","40022.324","34969.779","49921.963",
"5 persons or more","02.Alcoholic beverages and tobacco","2015.3/4","48139.984","46990.207","50247.111",
"5 persons or more","02.Alcoholic beverages and tobacco","2015.4/4","41956.745","40374.898","44906.068",
"5 persons or more","02.Alcoholic beverages and tobacco","2016.1/4","47439.973","44435.137","53014.357",
"5 persons or more","02.Alcoholic beverages and tobacco","2016.2/4","43223.365","43178.079","43328.226",
"5 persons or more","02.Alcoholic beverages and tobacco","2016.3/4","44321.765","44432.433","44105.979",
"5 persons or more","02.Alcoholic beverages and tobacco","2016.4/4","41217.203","41150.831","41358.191",
"5 persons or more","03.Clothing and footwear","2006.1/4","159472.032","161617.825","156505.618",
"5 persons or more","03.Clothing and footwear","2006.2/4","149301.745","149674.788","148753.169",
"5 persons or more","03.Clothing and footwear","2006.3/4","113083.553","118464.763","104326.885",
"5 persons or more","03.Clothing and footwear","2006.4/4","173368.976","176793.358","168281.798",
"5 persons or more","03.Clothing and footwear","2007.1/4","161778.495","163689.643","158951.179",
"5 persons or more","03.Clothing and footwear","2007.2/4","156778.149","152321.895","163923.302",
"5 persons or more","03.Clothing and footwear","2007.3/4","124373.569","121005.504","131075.427",
"5 persons or more","03.Clothing and footwear","2007.4/4","173939.107","166471.978","188845.837",
"5 persons or more","03.Clothing and footwear","2008.1/4","160085.206","156187.319","167416.706",
"5 persons or more","03.Clothing and footwear","2008.2/4","175324.429","185688.271","156969.049",
"5 persons or more","03.Clothing and footwear","2008.3/4","141068.493","147648.291","129393.308",
"5 persons or more","03.Clothing and footwear","2008.4/4","168110.313","163849.421","175953.35",
"5 persons or more","03.Clothing and footwear","2009.1/4","162992.304","166633.771","156281.23",
"5 persons or more","03.Clothing and footwear","2009.2/4","162091.449","170960.704","147324.409",
"5 persons or more","03.Clothing and footwear","2009.3/4","130976.742","132682.338","127982.604",
"5 persons or more","03.Clothing and footwear","2009.4/4","191864.284","191587.203","192376.437",
"5 persons or more","03.Clothing and footwear","2010.1/4","169322.292","173057.854","161940.174",
"5 persons or more","03.Clothing and footwear","2010.2/4","177611.62","176963.037","178770.441",
"5 persons or more","03.Clothing and footwear","2010.3/4","148355.566","151514.633","142823.473",
"5 persons or more","03.Clothing and footwear","2010.4/4","226533.508","226763.045","226093.946",
"5 persons or more","03.Clothing and footwear","2011.1/4","193830.145","197228.445","188025.173",
"5 persons or more","03.Clothing and footwear","2011.2/4","192624.539","194877.467","188892.75",
"5 persons or more","03.Clothing and footwear","2011.3/4","155562.068","144725.566","173877.714",
"5 persons or more","03.Clothing and footwear","2011.4/4","232045.327","229357.245","236753.822",
"5 persons or more","03.Clothing and footwear","2012.1/4","192636.831","196690.098","185759.858",
"5 persons or more","03.Clothing and footwear","2012.2/4","213168.653","215932.378","208423.072",
"5 persons or more","03.Clothing and footwear","2012.3/4","157709.297","162816.901","148694.905",
"5 persons or more","03.Clothing and footwear","2012.4/4","259135.467","267772.311","243015.554",
"5 persons or more","03.Clothing and footwear","2013.1/4","217140.547","214504.276","222032.264",
"5 persons or more","03.Clothing and footwear","2013.2/4","225915.42","236519.576","206557.231",
"5 persons or more","03.Clothing and footwear","2013.3/4","165389.343","155377.228","185373.21",
"5 persons or more","03.Clothing and footwear","2013.4/4","259945.413","263016.196","253731.907",
"5 persons or more","03.Clothing and footwear","2014.1/4","196967.318","192978.401","204831.657",
"5 persons or more","03.Clothing and footwear","2014.2/4","220060.022","221734.767","216683.84",
"5 persons or more","03.Clothing and footwear","2014.3/4","176447.096","172706.957","184365.295",
"5 persons or more","03.Clothing and footwear","2014.4/4","256292.899","269217.529","226818.08",
"5 persons or more","03.Clothing and footwear","2015.1/4","197023.286","193523.888","204924.714",
"5 persons or more","03.Clothing and footwear","2015.2/4","219230.332","213254.2","230939.59",
"5 persons or more","03.Clothing and footwear","2015.3/4","158812.225","165602.814","146367.526",
"5 persons or more","03.Clothing and footwear","2015.4/4","240479.159","245315.025","231462.777",
"5 persons or more","03.Clothing and footwear","2016.1/4","207192.535","212063.693","198155.866",
"5 persons or more","03.Clothing and footwear","2016.2/4","208438.128","211521.76","201297.858",
"5 persons or more","03.Clothing and footwear","2016.3/4","156953.083","166039.71","139235.628",
"5 persons or more","03.Clothing and footwear","2016.4/4","219149.748","236643.389","181989.547",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2006.1/4","263977.942","259342.784","270385.735",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2006.2/4","217223.079","214477.084","221261.194",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2006.3/4","194580.056","188360.944","204700.216",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2006.4/4","207790.252","211036.663","202967.464",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2007.1/4","256910.493","261436.361","250215.009",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2007.2/4","221714.051","233621.626","202621.457",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2007.3/4","178496.393","164429.314","206487.412",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2007.4/4","222852.368","220647.52","227253.935",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2008.1/4","269738.809","269797.922","269627.625",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2008.2/4","216010.59","217168.331","213960.118",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2008.3/4","183111.613","174536.88","198326.61",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2008.4/4","208911.346","205519.336","215155.027",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2009.1/4","283314.667","277379.467","294252.998",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2009.2/4","234356.529","239586.988","225647.975",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2009.3/4","213721.661","227603.017","189353.227",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2009.4/4","245449.005","256591.606","224853.118",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2010.1/4","318226.496","315861.918","322899.313",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2010.2/4","257537.332","254768.393","262484.578",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2010.3/4","233989.461","233314.132","235172.083",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2010.4/4","257710.415","242423.618","286984.528",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2011.1/4","329863.631","318835.103","348702.552",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2011.2/4","269631.557","252013.228","298814.869",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2011.3/4","218001.818","207540.941","235682.591",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2011.4/4","290830.417","282558.924","305318.92",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2012.1/4","366132.549","363822.987","370051.068",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2012.2/4","271905.567","273644.595","268919.489",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2012.3/4","240964.003","246951.153","230397.303",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2012.4/4","292999.761","309738.762","261757.88",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2013.1/4","392469.239","380922.629","413894.493",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2013.2/4","314014.257","326870.435","290544.94",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2013.3/4","252506.297","262475.35","232608.381",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2013.4/4","293995.822","293326.859","295349.42",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2014.1/4","386631.424","379596.007","400502.087",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2014.2/4","307330.87","311998.479","297921.267",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2014.3/4","266628.964","250399.866","300987.376",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2014.4/4","319882.132","319418.069","320940.436",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2015.1/4","415056.457","408334.437","430234.372",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2015.2/4","333211.001","312176.155","374425.354",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2015.3/4","316350.249","276937.054","388580.41",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2015.4/4","306508.379","297201.664","323860.576",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2016.1/4","385099.872","371864.104","409654.041",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2016.2/4","336490.027","341384.425","325156.853",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2016.3/4","292685.251","302589.983","273372.626",
"5 persons or more","04.Housing, water, electricity, gas and other fuels","2016.4/4","283438.795","304522.757","238651.988",
"5 persons or more","05.Household equipment and housekeeping services","2006.1/4","70182.8","73538.98","65543.107",
"5 persons or more","05.Household equipment and housekeeping services","2006.2/4","77269.834","91577.524","56229.712",
"5 persons or more","05.Household equipment and housekeeping services","2006.3/4","77115.926","83486.623","66749.097",
"5 persons or more","05.Household equipment and housekeeping services","2006.4/4","90113.449","104411.607","68872.456",
"5 persons or more","05.Household equipment and housekeeping services","2007.1/4","67259.095","75974.614","54365.52",
"5 persons or more","05.Household equipment and housekeeping services","2007.2/4","90912.011","99792.258","76673.432",
"5 persons or more","05.Household equipment and housekeeping services","2007.3/4","73315.67","74268.683","71419.341",
"5 persons or more","05.Household equipment and housekeeping services","2007.4/4","101418.963","89409.911","125392.797",
"5 persons or more","05.Household equipment and housekeeping services","2008.1/4","66473.33","75434.513","49618.324",
"5 persons or more","05.Household equipment and housekeeping services","2008.2/4","83285.41","84928.963","80374.517",
"5 persons or more","05.Household equipment and housekeeping services","2008.3/4","85777.411","90528.196","77347.624",
"5 persons or more","05.Household equipment and housekeeping services","2008.4/4","88920.827","98868.118","70610.822",
"5 persons or more","05.Household equipment and housekeeping services","2009.1/4","75868.051","80533.625","67269.589",
"5 persons or more","05.Household equipment and housekeeping services","2009.2/4","87910.892","86584.9","90118.627",
"5 persons or more","05.Household equipment and housekeeping services","2009.3/4","101123.297","106926.586","90935.742",
"5 persons or more","05.Household equipment and housekeeping services","2009.4/4","115636.285","124658.139","98960.369",
"5 persons or more","05.Household equipment and housekeeping services","2010.1/4","109049.215","112242.862","102738.016",
"5 persons or more","05.Household equipment and housekeeping services","2010.2/4","107932.34","114170.21","96787.174",
"5 persons or more","05.Household equipment and housekeeping services","2010.3/4","139089.982","145311.239","128195.444",
"5 persons or more","05.Household equipment and housekeeping services","2010.4/4","125651.152","137799.35","102387.436",
"5 persons or more","05.Household equipment and housekeeping services","2011.1/4","112454.151","109637.261","117265.961",
"5 persons or more","05.Household equipment and housekeeping services","2011.2/4","106817.096","96907.02","123232.32",
"5 persons or more","05.Household equipment and housekeeping services","2011.3/4","102856.296","82818.802","136723.279",
"5 persons or more","05.Household equipment and housekeeping services","2011.4/4","116503.429","114592.49","119850.665",
"5 persons or more","05.Household equipment and housekeeping services","2012.1/4","114140.98","120429.498","103471.57",
"5 persons or more","05.Household equipment and housekeeping services","2012.2/4","107852.04","111735.14","101184.383",
"5 persons or more","05.Household equipment and housekeeping services","2012.3/4","109484.784","114358.431","100883.301",
"5 persons or more","05.Household equipment and housekeeping services","2012.4/4","114958.209","135629.182","76377.646",
"5 persons or more","05.Household equipment and housekeeping services","2013.1/4","118097.105","136512.645","83926.244",
"5 persons or more","05.Household equipment and housekeeping services","2013.2/4","112854.212","122262.99","95678.22",
"5 persons or more","05.Household equipment and housekeeping services","2013.3/4","116447.631","131928.061","85549.179",
"5 persons or more","05.Household equipment and housekeeping services","2013.4/4","120634.718","138996.109","83481.783",
"5 persons or more","05.Household equipment and housekeeping services","2014.1/4","123935.761","143279.5","85798.653",
"5 persons or more","05.Household equipment and housekeeping services","2014.2/4","133953.641","149350.056","102915.444",
"5 persons or more","05.Household equipment and housekeeping services","2014.3/4","128533.021","139626.812","105046.502",
"5 persons or more","05.Household equipment and housekeeping services","2014.4/4","125210.78","137663.018","96813.258",
"5 persons or more","05.Household equipment and housekeeping services","2015.1/4","118689.897","123818.173","107110.559",
"5 persons or more","05.Household equipment and housekeeping services","2015.2/4","111292.729","105560.54","122524.018",
"5 persons or more","05.Household equipment and housekeeping services","2015.3/4","114272.759","103584.91","133859.727",
"5 persons or more","05.Household equipment and housekeeping services","2015.4/4","101735.469","89614.331","124335.105",
"5 persons or more","05.Household equipment and housekeeping services","2016.1/4","107034.259","103005.612","114507.954",
"5 persons or more","05.Household equipment and housekeeping services","2016.2/4","116273.397","122534.373","101775.858",
"5 persons or more","05.Household equipment and housekeeping services","2016.3/4","163820.706","160146.347","170985.111",
"5 persons or more","05.Household equipment and housekeeping services","2016.4/4","124425.522","144176.483","82470.294",
"5 persons or more","06.Health","2006.1/4","152445.812","147228.596","159658.261",
"5 persons or more","06.Health","2006.2/4","151189.05","148193.789","155593.721",
"5 persons or more","06.Health","2006.3/4","135643.673","137559.307","132526.424",
"5 persons or more","06.Health","2006.4/4","139116.252","125093.809","159947.65",
"5 persons or more","06.Health","2007.1/4","166808.195","172827.676","157903.088",
"5 persons or more","06.Health","2007.2/4","150556.758","138290.972","170223.707",
"5 persons or more","06.Health","2007.3/4","155761.475","170090.824","127248.586",
"5 persons or more","06.Health","2007.4/4","157653.711","153820.332","165306.337",
"5 persons or more","06.Health","2008.1/4","151943.639","169648.909","118641.963",
"5 persons or more","06.Health","2008.2/4","144951.328","151948.551","132558.561",
"5 persons or more","06.Health","2008.3/4","163334.931","171220.123","149343.455",
"5 persons or more","06.Health","2008.4/4","148083.677","157678.013","130423.355",
"5 persons or more","06.Health","2009.1/4","160421.752","169111.147","144407.552",
"5 persons or more","06.Health","2009.2/4","147349.793","148232.038","145880.882",
"5 persons or more","06.Health","2009.3/4","156511.366","156501.323","156528.996",
"5 persons or more","06.Health","2009.4/4","160844.811","162183.641","158370.13",
"5 persons or more","06.Health","2010.1/4","163469.292","168162.11","154195.47",
"5 persons or more","06.Health","2010.2/4","156515.596","162184.098","146387.718",
"5 persons or more","06.Health","2010.3/4","178715.364","176802.771","182064.659",
"5 persons or more","06.Health","2010.4/4","177161.901","179516.194","172653.445",
"5 persons or more","06.Health","2011.1/4","174973.504","173188.676","178022.344",
"5 persons or more","06.Health","2011.2/4","172056.541","175864.57","165748.854",
"5 persons or more","06.Health","2011.3/4","194984.105","181922.014","217061.398",
"5 persons or more","06.Health","2011.4/4","195617.488","207376.885","175019.507",
"5 persons or more","06.Health","2012.1/4","204330.5","197283.297","216287.134",
"5 persons or more","06.Health","2012.2/4","175530.338","193259.651","145087.396",
"5 persons or more","06.Health","2012.3/4","171651.057","168816.44","176653.863",
"5 persons or more","06.Health","2012.4/4","178623.522","188973.796","159305.64",
"5 persons or more","06.Health","2013.1/4","188729.512","177266.228","210000.15",
"5 persons or more","06.Health","2013.2/4","210781.768","201474.741","227772.011",
"5 persons or more","06.Health","2013.3/4","185170.667","178163.827","199156.1",
"5 persons or more","06.Health","2013.4/4","207512.113","207856.387","206815.5",
"5 persons or more","06.Health","2014.1/4","210952.616","219404.324","194289.667",
"5 persons or more","06.Health","2014.2/4","160890.419","162521.78","157601.7",
"5 persons or more","06.Health","2014.3/4","183963.659","194654.089","161331.089",
"5 persons or more","06.Health","2014.4/4","197308.711","206809.063","175643.009",
"5 persons or more","06.Health","2015.1/4","225878.503","236134.164","202721.841",
"5 persons or more","06.Health","2015.2/4","190357.831","194964.6","181331.618",
"5 persons or more","06.Health","2015.3/4","197730.764","213426.22","168966.659",
"5 persons or more","06.Health","2015.4/4","208641.345","223407.42","181110.274",
"5 persons or more","06.Health","2016.1/4","200042.617","227026.268","149984.235",
"5 persons or more","06.Health","2016.2/4","219807.365","249096.198","151987.908",
"5 persons or more","06.Health","2016.3/4","198433.665","206441.823","182819.05",
"5 persons or more","06.Health","2016.4/4","211560.099","230624.124","171064.068",
"5 persons or more","07.Transportation","2006.1/4","256454.382","284999.305","216992.949",
"5 persons or more","07.Transportation","2006.2/4","303022.252","282474.977","333237.975",
"5 persons or more","07.Transportation","2006.3/4","280085.21","297730.861","251371.012",
"5 persons or more","07.Transportation","2006.4/4","303499.752","294898.972","316276.861",
"5 persons or more","07.Transportation","2007.1/4","307412.845","361223.704","227806.078",
"5 persons or more","07.Transportation","2007.2/4","363521.463","418373.286","275572.102",
"5 persons or more","07.Transportation","2007.3/4","307878.553","321188.856","281393.385",
"5 persons or more","07.Transportation","2007.4/4","310176.006","336949.455","256727.805",
"5 persons or more","07.Transportation","2008.1/4","310238.563","352031.754","231630.144",
"5 persons or more","07.Transportation","2008.2/4","331527.841","346667.589","304713.864",
"5 persons or more","07.Transportation","2008.3/4","371497.859","412691.291","298404.281",
"5 persons or more","07.Transportation","2008.4/4","314696.877","327912.202","290371.392",
"5 persons or more","07.Transportation","2009.1/4","239946.257","263021.939","197418.721",
"5 persons or more","07.Transportation","2009.2/4","289631.146","294113.574","282168.041",
"5 persons or more","07.Transportation","2009.3/4","370728.711","392573.646","332380.381",
"5 persons or more","07.Transportation","2009.4/4","372023.855","370910.63","374081.529",
"5 persons or more","07.Transportation","2010.1/4","312984.355","336879.267","265763.863",
"5 persons or more","07.Transportation","2010.2/4","304369.288","298811.256","314299.791",
"5 persons or more","07.Transportation","2010.3/4","315637.23","320653.117","306853.511",
"5 persons or more","07.Transportation","2010.4/4","311982.475","328684.413","279998.375",
"5 persons or more","07.Transportation","2011.1/4","311415.215","333045.866","274465.761",
"5 persons or more","07.Transportation","2011.2/4","418432.053","427550.13","403328.708",
"5 persons or more","07.Transportation","2011.3/4","306205.601","334699.856","258045.163",
"5 persons or more","07.Transportation","2011.4/4","400177.566","370833.133","451577.824",
"5 persons or more","07.Transportation","2012.1/4","393961.897","452092.708","295334.292",
"5 persons or more","07.Transportation","2012.2/4","332658.702","356751.742","291288.627",
"5 persons or more","07.Transportation","2012.3/4","401257.977","454642.419","307039.955",
"5 persons or more","07.Transportation","2012.4/4","392226.164","434061.224","314144.684",
"5 persons or more","07.Transportation","2013.1/4","321893.226","346196.23","276797.912",
"5 persons or more","07.Transportation","2013.2/4","312319.074","309060.242","318268.164",
"5 persons or more","07.Transportation","2013.3/4","373963.634","406334.719","309351.963",
"5 persons or more","07.Transportation","2013.4/4","371652.341","411600.837","290819.473",
"5 persons or more","07.Transportation","2014.1/4","340820.873","355170.853","312529.202",
"5 persons or more","07.Transportation","2014.2/4","314832.708","320444.511","303519.669",
"5 persons or more","07.Transportation","2014.3/4","530328.653","590077.428","403835.297",
"5 persons or more","07.Transportation","2014.4/4","407868.072","389983.493","448654.133",
"5 persons or more","07.Transportation","2015.1/4","358130.679","300306.604","488693.946",
"5 persons or more","07.Transportation","2015.2/4","454786.096","462298.219","440067.316",
"5 persons or more","07.Transportation","2015.3/4","324490.152","341646.7","293048.393",
"5 persons or more","07.Transportation","2015.4/4","438793.833","391891.103","526243.099",
"5 persons or more","07.Transportation","2016.1/4","432338.94","486116.602","332573.98",
"5 persons or more","07.Transportation","2016.2/4","353804.235","356756.796","346967.461",
"5 persons or more","07.Transportation","2016.3/4","501938.737","490423.256","524392.064",
"5 persons or more","07.Transportation","2016.4/4","298812.721","340021.808","211275.885",
"5 persons or more","08.Communication","2006.1/4","166960.131","156403.089","181554.529",
"5 persons or more","08.Communication","2006.2/4","165169.422","160993.968","171309.62",
"5 persons or more","08.Communication","2006.3/4","168226.411","165400.836","172824.378",
"5 persons or more","08.Communication","2006.4/4","172828.698","168791.596","178826.117",
"5 persons or more","08.Communication","2007.1/4","178348.043","176833.975","180587.927",
"5 persons or more","08.Communication","2007.2/4","178441.475","170777.623","190729.687",
"5 persons or more","08.Communication","2007.3/4","173609.33","166743.236","187271.653",
"5 persons or more","08.Communication","2007.4/4","169685.252","165827.689","177386.157",
"5 persons or more","08.Communication","2008.1/4","169114.306","166930.423","173221.95",
