"Type","Region","PERIOD","Sales Price Index",
"Total","9Provinces","2022.07 Month","105.6148505",
"Total","9Provinces","2022.08 Month","105.3850198",
"Total","9Provinces","2022.09 Month","104.9733412",
"Total","9Provinces","2022.10 Month","104.2796771",
"Total","9Provinces","2022.11 Month","103.0262557",
"Total","9Provinces","2022.12 Month","101.1796282",
"Total","9Provinces","2023.01 Month","99.72773194",
"Total","9Provinces","2023.02 Month","98.60169976",
"Total","9Provinces","2023.03 Month","97.86798963",
"Total","9Provinces","2023.04 Month","97.43123027",
"Total","9Provinces","2023.05 Month","97.22585507",
"Total","9Provinces","2023.06 Month","97.17647949",
"Total","9Provinces","2023.07 Month","97.20908707",
"Total","9Provinces","2023.08 Month","97.36627195",
"Total","9Provinces","2023.09 Month","97.65118265",
"Total","9Provinces","2023.10 Month","97.8918193",
"Total","9Provinces","2023.11 Month","97.96809772",
"Total","9Provinces","2023.12 Month","97.90464552",
"Total","9Provinces","2024.01 Month","97.77002013",
"Total","9Provinces","2024.02 Month","97.64989558",
"Total","9Provinces","2024.03 Month","97.53965449",
"Total","9Provinces","2024.04 Month","97.49129512",
"Total","9Provinces","2024.05 Month","97.46432977",
"Total","9Provinces","2024.06 Month","97.48350131",
"Total","9Provinces","2024.07 Month","97.57098464",
"Total","9Provinces","2024.08 Month","97.74272677",
"Total","9Provinces","2024.09 Month","97.89245206",
"Total","9Provinces","2024.10 Month","97.96808294",
"Total","9Provinces","2024.11 Month","97.98376302",
"Total","9Provinces","2024.12 Month","97.93277897",
"Total","9Provinces","2025.01 Month","97.84964397",
"Total","9Provinces","2025.02 Month","97.77809187",
"Total","9Provinces","2025.03 Month","97.73470685",
"Total","8Provinces","2020.12 Month","97.2061568",
"Total","8Provinces","2021.01 Month","97.70961923",
"Total","8Provinces","2021.02 Month","98.11110113",
"Total","8Provinces","2021.03 Month","98.47780015",
"Total","8Provinces","2021.04 Month","98.90213251",
"Total","8Provinces","2021.05 Month","99.35094368",
"Total","8Provinces","2021.06 Month","100",
"Total","8Provinces","2021.07 Month","100.5111699",
"Total","8Provinces","2021.08 Month","101.1413585",
"Total","8Provinces","2021.09 Month","101.7636647",
"Total","8Provinces","2021.10 Month","102.4458322",
"Total","8Provinces","2021.11 Month","103.011741",
"Total","8Provinces","2021.12 Month","103.3460541",
"Total","8Provinces","2022.01 Month","103.5716383",
"Total","8Provinces","2022.02 Month","103.7285611",
"Total","8Provinces","2022.03 Month","103.8959623",
"Total","8Provinces","2022.04 Month","104.073241",
"Total","8Provinces","2022.05 Month","104.2351492",
"Total","8Provinces","2022.06 Month","104.3661413",
"Total","8Provinces","2022.07 Month","104.4488064",
"Total","8Provinces","2022.08 Month","104.406776",
"Total","8Provinces","2022.09 Month","104.2523564",
"Total","8Provinces","2022.10 Month","103.9097264",
"Total","8Provinces","2022.11 Month","103.2185631",
"Total","8Provinces","2022.12 Month","102.2228325",
"Total","8Provinces","2023.01 Month","101.4359346",
"Total","8Provinces","2023.02 Month","100.854097",
"Total","8Provinces","2023.03 Month","100.4275483",
"Total","8Provinces","2023.04 Month","100.1268712",
"Total","8Provinces","2023.05 Month","99.93889732",
"Total","8Provinces","2023.06 Month","99.83896158",
"Total","8Provinces","2023.07 Month","99.77662395",
"Total","8Provinces","2023.08 Month","99.80918032",
"Total","8Provinces","2023.09 Month","99.90626037",
"Total","8Provinces","2023.10 Month","100.015766",
"Total","8Provinces","2023.11 Month","100.076755",
"Total","8Provinces","2023.12 Month","100.0649225",
"Total","8Provinces","2024.01 Month","100.0044522",
"Total","8Provinces","2024.02 Month","99.94898515",
"Total","8Provinces","2024.03 Month","99.89743122",
"Total","8Provinces","2024.04 Month","99.86446439",
"Total","8Provinces","2024.05 Month","99.87917462",
"Total","8Provinces","2024.06 Month","99.85948744",
"Total","8Provinces","2024.07 Month","99.85173838",
"Total","8Provinces","2024.08 Month","99.8760529",
"Total","8Provinces","2024.09 Month","99.88271574",
"Total","8Provinces","2024.10 Month","99.88056551",
"Total","8Provinces","2024.11 Month","99.84359229",
"Total","8Provinces","2024.12 Month","99.74888538",
"Total","8Provinces","2025.01 Month","99.66172536",
"Total","8Provinces","2025.02 Month","99.60942632",
"Total","8Provinces","2025.03 Month","99.54332274",
"Total","Seoul","2020.12 Month","97.29401125",
"Total","Seoul","2021.01 Month","97.67921467",
"Total","Seoul","2021.02 Month","98.17517319",
"Total","Seoul","2021.03 Month","98.54939084",
"Total","Seoul","2021.04 Month","98.89503353",
"Total","Seoul","2021.05 Month","99.28601155",
"Total","Seoul","2021.06 Month","100",
"Total","Seoul","2021.07 Month","100.6039018",
"Total","Seoul","2021.08 Month","101.2918967",
"Total","Seoul","2021.09 Month","102.01645",
"Total","Seoul","2021.10 Month","102.7431428",
"Total","Seoul","2021.11 Month","103.3129946",
"Total","Seoul","2021.12 Month","103.584352",
"Total","Seoul","2022.01 Month","103.6256888",
"Total","Seoul","2022.02 Month","103.5831374",
"Total","Seoul","2022.03 Month","103.5744934",
"Total","Seoul","2022.04 Month","103.6139953",
"Total","Seoul","2022.05 Month","103.6579033",
"Total","Seoul","2022.06 Month","103.6542275",
"Total","Seoul","2022.07 Month","103.5654855",
"Total","Seoul","2022.08 Month","103.314026",
"Total","Seoul","2022.09 Month","102.8313308",
"Total","Seoul","2022.10 Month","102.0035175",
"Total","Seoul","2022.11 Month","100.6398362",
"Total","Seoul","2022.12 Month","98.66356733",
"Total","Seoul","2023.01 Month","97.43215863",
"Total","Seoul","2023.02 Month","96.65150347",
"Total","Seoul","2023.03 Month","96.12405627",
